90137, 5642
179426, 9511
179344, 9505
179344, 9505
179014, 9471
179014, 9471
179014, 9471
179014, 9471
179008, 9471
178556, 9463
178559, 9463
178559, 9463
178559, 9463
178456, 9460
178431, 9460
178508, 9462
178529, 9465
178597, 9465
178159, 9449
178057, 9448
178045, 9447
178045, 9447
177940, 9443
177921, 9443
177920, 9443
177912, 9443
177892, 9439
177869, 9439
177861, 9438
177800, 9430
180167, 9500
180357, 9510
180201, 9496
180087, 9488
180090, 9486
180059, 9471
180057, 9471
179757, 9465
179416, 9463
179247, 9471
179236, 9471
179314, 9476
179478, 9476
179468, 9477
179001, 9450
178975, 9450
177828, 9432
177388, 9401
177154, 9403
177138, 9403
177138, 9403
177033, 9397
177033, 9397
175977, 9349
175546, 9302
175507, 9299
175477, 9298
175347, 9276
175347, 9276
175347, 9276
175347, 9277
175347, 9277
175591, 9277
175591, 9277
175593, 9272
175593, 9272
175593, 9272
175593, 9272
175593, 9272
175591, 9272
175591, 9272
175591, 9272
175536, 9273
175536, 9273
175478, 9267
175478, 9267
175473, 9266
175399, 9263
175399, 9263
175396, 9263
175396, 9263
175366, 9260
175366, 9260
175356, 9258
175345, 9256
175348, 9258
175321, 9259
175321, 9259
175265, 9235
175265, 9235
175175, 9233
175175, 9233
174004, 9072
174004, 9072
173992, 9072
173992, 9072
173992, 9072
173962, 9069
173962, 9069
173962, 9069
173877, 9069
173877, 9069
173877, 9069
173809, 9068
173809, 9068
173809, 9068
173809, 9068
173170, 9030
173170, 9030
173170, 9030
172286, 9008
172286, 9008
172286, 9008
172286, 9008
172111, 9005
172111, 9005
171970, 9007
171722, 8996
171722, 8996
171722, 8996
171721, 8996
171721, 8996
171721, 8996
171233, 8986
170915, 8963
170467, 8918
170467, 8918
170467, 8918
170467, 8918
170467, 8918
170467, 8918
170467, 8918
170467, 8918
169378, 8851
168463, 8822
168463, 8822
168463, 8822
168463, 8822
168483, 8827
168483, 8827
168472, 8828
168472, 8828
168472, 8828
168472, 8828
168472, 8828
168472, 8828
168472, 8828
168472, 8828
168472, 8828
168472, 8828
168472, 8828
168472, 8828
168404, 8838
168404, 8838
